location,sqft,bath,price,bhk
amruthahalli,1190.0,2.0,50.0,2
sarjapur  road,1500.0,3.0,88.0,3
yelahanka,1100.0,2.0,60.0,2
budigere,1153.0,2.0,56.5,2
chandapura,985.0,2.0,25.12,2
binny pete,660.0,1.0,54.0,1
hosakerehalli,1500.0,6.0,145.0,5
thanisandra,1564.0,3.0,101.0,3
kadugodi,1314.0,2.0,78.0,2
hegde nagar,1050.0,1.0,56.0,2
yelachenahalli,1400.0,2.0,78.0,2
somasundara palya,2400.0,3.0,140.0,4
r.t. nagar,3600.0,8.0,165.0,9
electronic city phase ii,1140.0,2.0,34.0,2
marathahalli,1196.0,2.0,57.95,2
bisuvanahalli,700.0,1.0,32.0,2
iblur village,2100.0,4.0,145.0,3
harlur,1197.0,2.0,79.0,2
other,1605.0,2.0,85.0,3
bellandur,1325.0,2.0,65.0,2
harlur,2990.0,4.0,225.0,4
hormavu,1046.0,2.0,60.0,2
other,1800.0,3.0,150.0,3
other,1012.0,2.0,59.0,2
vittasandra,1404.0,2.0,70.0,2
old madras road,1171.0,2.0,72.0,2
budigere,1149.0,2.0,65.0,2
other,1250.0,2.0,80.0,3
other,2100.0,3.0,270.0,3
hulimavu,1255.0,2.0,74.0,2
harlur,1197.0,2.0,78.0,2
kogilu,1190.0,2.0,50.66,2
kasavanhalli,2035.0,3.0,142.0,3
kenchenahalli,1015.0,2.0,58.0,2
r.t. nagar,1300.0,3.0,145.0,3
horamavu banaswadi,1200.0,2.0,45.0,2
bannerghatta road,2932.0,5.0,195.0,4
kanakpura road,1938.0,3.0,105.0,3
other,1500.0,2.0,85.0,3
horamavu agara,950.0,2.0,39.0,2
hsr layout,1203.0,2.0,72.0,2
margondanahalli,600.0,2.0,35.0,2
bellandur,1846.0,3.0,135.0,3
koramangala,1253.0,2.0,102.0,2
other,1626.6,3.0,133.0,3
other,1864.0,3.0,115.0,3
harlur,1864.0,3.0,140.0,3
other,1600.0,3.0,102.0,3
raja rajeshwari nagar,1295.0,2.0,55.47,2
kadugodi,1762.0,3.0,110.0,3
bommasandra,1089.0,2.0,40.0,2
marathahalli,2181.0,3.0,152.0,4
attibele,400.0,1.0,11.0,1
ramagondanahalli,1610.0,2.0,115.0,3
thubarahalli,1200.0,2.0,78.0,2
kodichikkanahalli,1150.0,2.0,48.0,2
pattandur agrahara,1550.0,2.0,80.0,3
bannerghatta road,1340.0,2.0,85.0,2
vittasandra,1259.0,2.0,67.4,2
kengeri,500.0,1.0,17.0,1
bannerghatta road,1920.0,3.0,122.0,3
murugeshpalya,1296.0,2.0,81.0,2
other,3080.0,2.0,285.0,4
5th phase jp nagar,1030.0,2.0,57.0,2
kodigehaali,1200.0,2.0,60.0,2
garudachar palya,1150.0,2.0,52.5,2
ombr layout,1101.0,2.0,66.0,2
sarjapur  road,1200.0,2.0,93.0,2
seegehalli,920.0,2.0,27.0,2
other,1150.0,2.0,75.0,3
banashankari stage v,1035.0,2.0,35.77,2
hegde nagar,1884.0,4.0,118.0,3
lakshminarayana pura,1190.0,2.0,75.0,2
gottigere,1200.0,2.0,50.0,2
yelahanka,1100.0,2.0,70.0,2
hebbal,1200.0,2.0,60.0,2
murugeshpalya,1930.0,3.0,75.0,3
yelahanka,682.0,1.0,36.23,1
horamavu banaswadi,1272.0,2.0,51.5,2
other,1386.0,3.0,93.0,4
chandapura,1200.0,1.0,36.0,2
attibele,418.0,1.0,12.0,1
other,1500.0,1.0,160.0,2
thanisandra,1265.0,2.0,72.0,2
anekal,1200.0,2.0,36.0,4
judicial layout,1500.0,3.0,162.0,4
vishwapriya layout,890.0,2.0,37.0,2
sarjapur  road,1181.0,2.0,65.0,3
anjanapura,950.0,2.0,32.0,2
other,1540.0,3.0,150.0,3
kathriguppe,1350.0,3.0,80.99,3
marathahalli,1937.0,3.0,140.0,3
other,1480.0,2.0,145.0,3
haralur road,1243.0,2.0,46.0,2
ulsoor,1200.0,2.0,60.0,2
other,2100.0,3.0,210.0,4
margondanahalli,1152.0,1.0,66.0,2
kengeri satellite town,654.0,1.0,22.0,1
yelahanka,2088.0,5.0,110.0,4
electronic city phase ii,1253.0,2.0,65.8,2
2nd stage nagarbhavi,1200.0,4.0,225.0,4
marathahalli,1350.0,2.0,60.0,2
other,1022.0,2.0,57.0,2
rajaji nagar,1440.0,2.0,170.0,2
raja rajeshwari nagar,1400.0,2.0,45.0,2
pattandur agrahara,1350.0,2.0,68.0,2
choodasandra,1115.0,2.0,50.0,2
kothanur,1790.0,3.0,105.0,3
hoodi,1026.0,2.0,60.87,2
marathahalli,1240.0,2.0,55.0,2
neeladri nagar,1105.0,2.0,30.0,2
hennur road,5100.0,6.0,375.0,5
r.t. nagar,1080.0,2.0,48.0,2
hennur,2500.0,5.0,125.0,5
ngr layout,1105.0,2.0,49.73,2
hennur road,973.0,2.0,50.74,2
dasanapura,1163.0,2.0,65.0,2
jp nagar,1125.0,2.0,39.98,2
whitefield,4144.0,5.0,331.0,5
attibele,1600.0,4.0,52.8,4
other,2700.0,4.0,214.0,6
electronic city phase ii,975.0,2.0,45.0,3
other,1200.0,3.0,68.0,3
other,1200.0,4.0,120.0,4
kudlu gate,1310.0,2.0,53.0,2
electronic city phase ii,1165.0,2.0,33.64,2
vittasandra,1404.0,2.0,70.0,2
sarjapur  road,1700.0,3.0,93.5,3
sarjapura - attibele road,740.0,1.0,23.65,1
6th phase jp nagar,1192.0,2.0,75.0,2
kengeri satellite town,410.0,1.0,15.0,1
kanakpura road,1700.0,3.0,88.0,3
kasavanhalli,1230.0,2.0,66.25,2
hennur,1050.0,2.0,42.73,2
koramangala,1249.0,2.0,165.0,2
jigani,914.0,2.0,47.0,2
other,1490.0,2.0,92.0,3
uttarahalli,1300.0,2.0,55.0,3
rachenahalli,1050.0,2.0,55.5,2
horamavu banaswadi,1210.0,2.0,50.0,2
bhoganhalli,970.0,2.0,52.5,2
chikkalasandra,1325.0,2.0,59.0,2
thanisandra,760.0,1.0,50.3,1
uttarahalli,1390.0,2.0,62.55,3
banashankari,1020.0,2.0,40.79,2
seegehalli,4000.0,3.0,235.0,3
other,675.0,3.0,52.0,2
kaggadasapura,1455.0,3.0,75.0,3
thanisandra,3671.0,4.0,220.0,4
bannerghatta road,1470.0,2.0,85.0,3
ananth nagar,810.0,2.0,25.5,2
kasturi nagar,1000.0,2.0,58.0,2
electronic city phase ii,1031.0,2.0,53.0,2
sarjapur  road,1550.0,2.0,98.0,3
thanisandra,1265.0,2.0,85.0,2
other,1500.0,3.0,100.0,3
old airport road,946.0,2.0,58.0,2
hennur road,1030.0,2.0,46.5,2
anjanapura,1500.0,3.0,121.0,3
sector 2 hsr layout,1512.0,3.0,80.0,3
talaghattapura,1856.0,3.0,135.0,3
kaggadasapura,1240.0,2.0,58.58,2
kothanur,1454.0,3.0,71.5,3
chandapura,985.0,2.0,25.12,2
raja rajeshwari nagar,1419.0,2.0,48.1,2
bellandur,1205.0,2.0,66.0,2
other,3600.0,4.0,300.0,4
7th phase jp nagar,990.0,2.0,50.0,2
sarjapur  road,1229.0,2.0,70.0,2
hebbal,812.0,2.0,55.0,2
kannamangala,957.0,2.0,54.5,2
vittasandra,1246.0,2.0,67.5,2
marsur,1200.0,3.0,90.0,3
other,1230.0,2.0,70.0,2
1st phase jp nagar,1394.0,2.0,85.0,2
hormavu,1081.5,2.0,38.665,2
varthur,1210.0,2.0,54.0,2
rajaji nagar,2390.0,3.0,415.0,3
uttarahalli,1125.0,2.0,47.65,2
sultan palaya,1009.0,2.0,65.0,2
other,775.0,2.0,55.0,2
nagavara,2172.65,3.0,120.0,4
5th phase jp nagar,1075.0,2.0,60.0,2
sector 2 hsr layout,1332.0,2.0,101.0,2
kalena agrahara,1200.0,3.0,70.0,2
margondanahalli,1000.0,2.0,57.0,2
whitefield,1180.0,2.0,70.0,2
electronic city,1128.0,2.0,65.0,2
munnekollal,1170.0,2.0,52.0,2
marathahalli,957.0,2.0,47.0,2
electronic city,2000.0,4.0,120.0,4
devanahalli,1360.0,2.0,62.425,2
ambalipura,1700.0,2.0,76.0,2
mallasandra,905.0,2.0,35.0,2
amruthahalli,900.0,2.0,60.0,2
raja rajeshwari nagar,1400.0,2.0,86.0,3
other,1097.0,2.0,65.0,2
kadubeesanahalli,1185.0,2.0,55.0,2
singasandra,1416.0,2.0,67.0,2
gollarapalya hosahalli,861.0,2.0,36.5,2
rajaji nagar,1200.0,1.0,200.0,2
bannerghatta road,1012.0,2.0,45.0,2
other,2770.0,4.0,290.0,3
other,500.0,1.0,13.0,1
old airport road,1145.0,2.0,75.0,2
anjanapura,1850.0,4.0,86.0,4
1st block jayanagar,2750.0,4.0,413.0,4
other,1545.0,3.0,85.0,3
kaggadasapura,1175.0,2.0,50.0,2
gottigere,1500.0,3.0,70.0,3
jalahalli,1407.0,2.0,98.49,2
hennur road,2365.0,4.0,175.0,3
lakshminarayana pura,1200.0,2.0,83.0,2
anjanapura,1843.0,3.0,87.54,3
chikkalasandra,1070.0,2.0,50.0,2
hennur road,1341.0,2.0,95.0,2
parappana agrahara,1194.0,2.0,47.0,2
kothanur,1187.0,2.0,58.0,2
other,1200.0,3.0,70.0,3
other,2950.0,4.0,250.0,4
sarjapur  road,1984.0,4.0,145.0,3
other,2008.0,3.0,170.0,3
kodichikkanahalli,2700.0,4.0,125.0,5
other,1411.0,3.0,91.72,3
arekere,900.0,2.0,44.5,2
bellandur,1410.0,3.0,92.0,2
kogilu,1140.0,2.0,50.66,2
gottigere,1621.0,3.0,72.0,3
horamavu agara,982.0,2.0,47.65,2
electronic city,1500.0,3.0,73.0,3
kammanahalli,1200.0,1.0,81.0,2
banashankari stage v,1510.0,3.0,47.57,3
dodda nekkundi,1005.0,2.0,45.0,2
babusapalaya,1450.0,2.0,55.99,2
kothanur,1200.0,2.0,51.0,2
yelahanka,654.0,1.0,36.25,1
ramamurthy nagar,2316.0,3.0,125.0,3
hebbal,1349.0,2.0,98.2,2
old madras road,1425.0,2.0,94.0,3
other,1800.0,3.0,130.0,3
raja rajeshwari nagar,1187.0,2.0,40.14,2
kathriguppe,1300.0,3.0,77.99,3
other,1685.0,2.0,110.0,3
whitefield,1720.0,3.0,100.0,3
ulsoor,2135.0,3.0,170.0,3
other,1505.0,2.0,90.0,2
bellandur,1490.0,2.0,98.0,3
btm 2nd stage,1200.0,2.0,70.0,2
talaghattapura,1856.0,3.0,135.0,3
electronic city,1060.0,2.0,60.0,2
other,1300.0,2.0,70.0,3
haralur road,1200.0,2.0,46.0,2
laggere,1200.0,2.0,75.0,2
whitefield,1360.0,2.0,95.0,2
hormavu,980.0,2.0,42.0,2
9th phase jp nagar,1005.0,2.0,43.0,2
sarjapur  road,1680.0,3.0,126.0,3
jp nagar,1405.0,2.0,99.0,2
thanisandra,2144.0,3.0,145.0,3
kothanur,1787.0,3.0,107.0,3
bannerghatta road,595.0,1.0,33.32,1
vasanthapura,1037.0,2.0,36.28,2
other,1200.0,4.0,130.0,4
channasandra,1115.0,2.0,35.8,2
sonnenahalli,1415.0,2.0,65.0,3
anandapura,1200.0,2.0,67.0,2
domlur,1650.0,3.0,180.0,3
bommasandra industrial area,1065.0,2.0,30.75,2
bommasandra industrial area,1125.0,2.0,32.49,2
hennur road,1065.0,2.0,42.6,2
kanakapura,825.0,1.0,35.475,1
sarjapur  road,1115.0,2.0,60.0,2
electronic city,1213.0,2.0,59.32,2
sarjapur  road,1241.0,2.0,82.0,2
ambedkar nagar,1367.0,2.0,86.0,2
yelahanka,1600.0,3.0,100.0,3
ambedkar nagar,2225.0,4.0,169.0,3
gottigere,1120.0,2.0,50.0,2
whitefield,3425.0,5.0,250.0,4
narayanapura,2357.0,3.0,135.0,3
domlur,2180.0,3.0,285.0,3
isro layout,1370.0,2.0,87.0,3
1st phase jp nagar,1566.0,2.0,180.0,2
sonnenahalli,1268.0,2.0,58.0,2
sarjapur,1128.0,2.0,60.0,2
kasavanhalli,1200.0,2.0,60.0,2
hosa road,1311.0,2.0,84.86,3
subramanyapura,929.0,2.0,49.0,2
other,840.0,1.0,75.0,1
choodasandra,1065.0,2.0,46.0,2
cv raman nagar,705.0,2.0,50.0,1
btm 2nd stage,2780.0,4.0,325.0,3
kothanur,1787.0,3.0,120.0,3
talaghattapura,1868.0,3.0,120.0,3
hegde nagar,1584.01,3.0,103.0,3
hennur,1295.0,2.0,64.0,2
electronics city phase 1,1145.0,2.0,54.0,2
bommasandra,1014.0,2.0,35.0,2
devanahalli,1340.0,2.0,65.0,2
other,1718.0,3.0,223.0,3
rajiv nagar,2340.0,5.0,129.0,4
whitefield,1760.0,3.0,139.0,3
other,1590.0,3.0,120.0,3
devanahalli,658.0,1.0,34.0,1
raja rajeshwari nagar,1580.0,2.0,66.85,3
dodda nekkundi,1080.0,2.0,50.0,2
akshaya nagar,1420.0,2.0,75.0,3
cv raman nagar,1120.0,2.0,55.0,2
begur road,1565.0,2.0,57.91,3
kr puram,1559.0,3.0,69.315,3
whitefield,1132.0,2.0,79.28,2
hebbal,2630.0,5.0,188.0,4
tumkur road,1246.0,2.0,82.0,2
kothanur,1185.0,2.0,59.0,2
anandapura,1200.0,2.0,50.0,2
budigere,1820.0,3.0,93.0,3
bannerghatta road,1220.0,2.0,80.0,2
hebbal,1349.0,2.0,98.0,2
other,655.0,1.0,27.0,1
other,1535.0,3.0,95.0,3
other,2700.0,3.0,200.0,3
nagarbhavi,2400.0,3.0,160.0,3
other,1756.0,3.0,100.0,3
electronic city phase ii,1252.0,2.0,65.0,3
lakshminarayana pura,1200.0,2.0,75.0,2
vijayanagar,606.0,1.0,34.78,1
btm layout,1540.0,2.0,78.0,3
kodihalli,1490.0,2.0,150.0,2
hennur,1020.0,2.0,48.0,2
other,1200.0,3.0,160.0,4
other,1580.0,3.0,100.0,3
varthur,1155.0,2.0,39.0,2
garudachar palya,1154.0,2.0,51.8,2
sarjapur  road,1984.0,4.0,146.0,3
bommasandra,1127.0,2.0,45.0,2
bellandur,981.0,2.0,37.28,2
budigere,664.0,1.0,35.4,1
rajiv nagar,2330.0,5.0,175.0,4
other,600.0,1.0,50.0,1
bannerghatta road,1246.0,2.0,47.35,2
chandapura,971.0,2.0,38.0,3
2nd phase judicial layout,900.0,2.0,41.0,2
devanahalli,1045.0,2.0,48.0,2
thanisandra,1935.0,4.0,122.0,3
old airport road,1150.0,2.0,90.0,2
hennur road,1414.0,2.0,84.18,2
electronic city phase ii,1160.0,2.0,33.5,2
akshaya nagar,1113.0,2.0,52.0,2
kudlu,1110.0,2.0,46.0,2
babusapalaya,1675.0,3.0,75.0,3
kammanahalli,1666.0,4.0,150.0,5
bannerghatta road,1260.0,2.0,70.0,2
sarjapur  road,685.0,1.0,40.0,1
kathriguppe,1350.0,3.0,80.99,3
lb shastri nagar,1184.0,2.0,69.0,2
whitefield,1192.0,2.0,71.0,2
vishwapriya layout,820.0,2.0,30.0,2
haralur road,1194.0,2.0,47.0,2
electronic city,1631.0,3.0,80.0,3
other,2400.0,2.0,150.0,3
banaswadi,1145.0,2.0,55.0,2
bellandur,1785.0,3.0,118.0,3
arekere,1100.0,2.0,55.0,2
hulimavu,1021.0,2.0,76.0,2
other,1170.0,2.0,86.0,2
frazer town,2560.0,3.0,265.0,3
kudlu gate,1335.0,3.0,89.0,3
ramamurthy nagar,1150.0,2.0,51.0,2
indira nagar,1149.0,2.0,130.0,2
kasavanhalli,1225.0,2.0,69.0,3
kasavanhalli,1200.0,2.0,50.0,2
babusapalaya,1500.0,2.0,57.0,2
ambedkar nagar,1852.0,3.0,130.0,3
8th phase jp nagar,1046.0,2.0,48.0,2
epip zone,1125.0,2.0,65.0,2
vasanthapura,978.0,2.0,34.22,2
tc palaya,900.0,2.0,55.0,2
banashankari stage iii,2400.0,4.0,240.0,4
sompura,1126.0,2.0,39.0,2
thanisandra,1411.0,3.0,93.15,3
indira nagar,1650.0,3.0,220.0,3
sarjapur  road,1320.0,2.0,100.0,2
electronic city phase ii,1160.0,2.0,52.2,2
thigalarapalya,2072.0,4.0,157.0,3
chamrajpet,505.0,1.0,85.0,1
other,1441.0,2.0,115.0,2
sarjapur  road,1711.0,3.0,110.0,3
yelahanka new town,500.0,1.0,20.0,1
koramangala,1370.0,2.0,125.0,2
gubbalala,1745.0,3.0,110.0,3
cunningham road,3489.0,3.0,662.0,3
other,1100.0,2.0,61.0,2
nagavarapalya,705.0,1.0,52.5,1
vijayanagar,864.0,2.0,45.0,2
varthur,1360.0,2.0,85.0,3
jakkur,1291.0,2.0,75.0,2
kaval byrasandra,1185.0,2.0,49.0,2
panathur,1359.0,2.0,87.0,2
kenchenahalli,1720.0,3.0,100.0,3
isro layout,4200.0,4.0,255.0,4
hegde nagar,1965.0,4.0,132.0,3
chandapura,520.0,1.0,14.04,1
whitefield,3537.0,5.0,210.0,4
attibele,656.0,2.0,25.0,2
kothanur,1141.0,2.0,54.0,2
bannerghatta road,1270.0,2.0,45.0,2
other,1200.0,3.0,85.0,3
hosa road,1161.0,2.0,55.15,2
hoskote,509.0,1.0,23.0,1
hegde nagar,1200.0,4.0,83.0,4
marathahalli,607.0,1.0,35.0,1
kathriguppe,1245.0,2.0,68.48,3
hbr layout,1004.0,2.0,49.0,2
seegehalli,1096.0,2.0,41.0,2
kengeri satellite town,883.0,2.0,45.0,2
other,1355.0,2.0,75.0,2
sarjapur  road,2070.0,4.0,160.0,3
pai layout,1400.0,2.0,67.0,3
whitefield,1500.0,3.0,78.57,3
other,1603.0,2.0,125.0,3
anekal,1800.0,3.0,68.0,3
channasandra,1050.0,2.0,35.0,2
raja rajeshwari nagar,1140.0,2.0,49.39,2
bommanahalli,910.0,2.0,45.0,2
nri layout,1250.0,2.0,75.0,2
bommanahalli,1050.0,2.0,46.0,2
kadugodi,1890.0,4.0,127.0,3
8th phase jp nagar,1100.0,2.0,35.0,2
koramangala,1140.0,2.0,75.2,2
ramagondanahalli,1610.0,2.0,115.0,3
electronic city,1128.0,2.0,64.0,2
mahadevpura,1601.0,3.0,95.0,3
yelahanka,1890.0,3.0,108.0,3
hennur road,1832.0,3.0,125.0,3
8th phase jp nagar,1080.0,2.0,38.0,2
old airport road,1075.0,2.0,60.0,2
amruthahalli,1450.0,2.0,90.0,3
singasandra,1375.0,2.0,58.0,2
doddakallasandra,1010.0,2.0,40.39,2
mysore road,883.0,2.0,50.0,2
other,1200.0,2.0,75.0,2
bannerghatta road,1115.0,2.0,61.0,2
sarjapur  road,1580.0,3.0,125.0,3
hebbal,2250.0,3.0,219.0,3
murugeshpalya,1550.0,3.0,74.0,3
ramamurthy nagar,540.0,1.0,35.0,1
other,950.0,2.0,60.0,2
chikka tirupathi,2646.0,3.0,99.0,3
other,2375.0,3.0,260.0,4
hennur road,987.0,2.0,49.0,2
kasturi nagar,1925.0,3.0,125.0,3
marathahalli,1215.0,2.0,58.86,2
hennur road,1891.0,3.0,139.0,3
mahadevpura,1620.0,2.0,76.0,3
other,1670.0,3.0,160.0,3
balagere,675.0,1.0,45.0,1
sarjapur  road,1510.0,2.0,110.0,3
sarjapur  road,1300.0,2.0,70.0,3
rajaji nagar,1640.0,3.0,241.0,3
begur road,1615.0,3.0,60.0,3
kadugodi,1150.0,2.0,42.0,2
other,3664.0,3.0,325.0,3
harlur,1749.0,3.0,120.0,3
kothanur,1185.0,2.0,58.0,2
sarjapur  road,2275.0,4.0,180.0,3
kanakpura road,950.0,2.0,57.0,2
kanakapura,938.0,1.0,50.0,1
benson town,1688.12,2.0,270.0,2
kasavanhalli,1158.0,2.0,67.0,2
ardendale,1650.0,3.0,82.0,3
nagavara,2496.0,4.0,125.0,4
other,2400.0,4.0,280.0,6
sarjapur  road,1763.25,3.0,98.0,3
sarjapur  road,1026.0,2.0,60.8,2
whitefield,1626.0,3.0,85.0,3
kundalahalli,1315.0,2.0,74.0,2
kambipura,883.0,2.0,45.0,2
indira nagar,2601.0,4.0,312.0,3
whitefield,1655.0,3.0,110.0,3
green glen layout,1517.0,3.0,100.0,3
subramanyapura,1313.0,2.0,73.0,2
whitefield,4144.0,4.0,315.0,4
kalyan nagar,1375.0,3.0,75.0,3
bellandur,1717.0,3.0,110.0,3
ramamurthy nagar,700.0,2.0,33.0,2
whitefield,1558.0,3.0,90.0,3
malleshwaram,705.0,1.0,67.0,1
harlur,1033.0,2.0,49.0,2
hormavu,1065.0,2.0,50.92,2
brookefield,1476.0,3.0,105.0,3
uttarahalli,1155.0,2.0,40.42,2
lingadheeranahalli,1705.0,3.0,110.0,3
chandapura,630.0,1.0,13.86,1
rajaji nagar,2440.0,2.0,415.0,4
hosakerehalli,2376.0,3.0,203.0,3
other,1950.0,3.0,132.0,3
balagere,1012.0,2.0,70.0,2
other,2150.0,4.0,240.0,3
hennur road,1748.0,3.0,103.0,3
kalyan nagar,1190.0,2.0,60.0,2
other,792.0,2.0,70.0,2
ramamurthy nagar,1200.0,2.0,76.0,2
bommasandra,1365.0,3.0,52.82,3
other,1200.0,3.0,99.0,3
cooke town,1100.0,2.0,90.0,2
kundalahalli,1724.0,3.0,125.0,3
haralur road,2805.0,5.0,160.0,4
badavala nagar,1842.0,3.0,115.0,3
other,4300.0,5.0,550.0,4
brookefield,1100.0,2.0,55.0,2
banashankari,1041.0,2.0,36.44,2
kammasandra,1057.0,2.0,35.0,2
other,461.82,1.0,31.7,1
banashankari stage iii,1200.0,2.0,42.0,2
other,1500.0,3.0,90.0,3
btm layout,1196.0,2.0,56.81,2
harlur,1225.0,2.0,56.0,2
kathriguppe,1300.0,3.0,77.99,3
varthur,1760.0,2.0,85.0,2
kengeri,883.0,2.0,49.0,2
indira nagar,1210.0,2.0,102.0,2
ambedkar nagar,1935.0,4.0,125.0,3
harlur,1754.0,3.0,125.0,3
other,1410.0,3.0,90.0,3
hulimavu,450.0,1.0,20.0,1
other,510.0,1.0,34.0,1
whitefield,920.0,2.0,63.0,2
magadi road,1005.0,2.0,55.78,2
bellandur,1063.0,2.0,58.0,2
bannerghatta,1665.0,3.0,110.0,3
electronic city,910.0,2.0,42.0,2
other,3870.0,4.0,411.0,4
ramamurthy nagar,1334.0,2.0,67.0,2
7th phase jp nagar,1300.0,3.0,89.13,3
7th phase jp nagar,1175.0,2.0,82.0,2
other,1058.0,2.0,60.0,2
other,1100.0,2.0,70.0,2
rachenahalli,1050.0,2.0,52.5,2
hosa road,1533.0,3.0,98.18,3
vishwapriya layout,770.0,2.0,30.0,2
5th phase jp nagar,1075.0,2.0,60.0,2
kodichikkanahalli,450.0,1.0,18.0,1
jalahalli,1470.0,2.0,102.0,3
banashankari,600.0,1.0,27.0,2
magadi road,5000.0,6.0,360.0,5
harlur,2569.0,5.0,180.0,4
cv raman nagar,1070.0,2.0,47.5,2
7th phase jp nagar,1680.0,3.0,122.0,3
balagere,1205.0,2.0,78.5,2
malleshwaram,600.0,1.0,68.0,2
bisuvanahalli,845.0,2.0,33.0,2
banashankari,1186.0,2.0,65.0,2
varthur,1160.0,2.0,44.0,2
varthur road,1140.0,2.0,49.11,2
attibele,782.0,1.0,19.55,1
thubarahalli,1200.0,2.0,80.0,2
lingadheeranahalli,2240.0,4.0,160.0,4
uttarahalli,1215.0,2.0,52.85,3
hennur road,1232.0,2.0,87.0,2
7th phase jp nagar,1420.0,2.0,100.0,3
uttarahalli,1143.0,2.0,45.0,2
other,1352.0,3.0,135.0,3
bhoganhalli,1447.0,2.0,75.97,2
ambedkar nagar,1852.0,3.0,125.0,3
sarjapura - attibele road,1330.0,2.0,48.0,3
mysore road,883.0,2.0,45.0,2
padmanabhanagar,1100.0,2.0,65.0,2
rayasandra,3600.0,5.0,145.0,5
hebbal,1790.0,3.0,127.0,3
panathur,1000.0,2.0,68.0,2
raja rajeshwari nagar,1240.0,2.0,40.54,2
uttarahalli,1286.0,2.0,63.0,2
banashankari,1310.0,2.0,80.43,2
jakkur,1202.0,2.0,79.0,2
begur road,1200.0,2.0,44.0,2
sarjapur,1451.0,2.0,87.0,2
banashankari stage vi,1410.5,2.0,70.385,3
kr puram,1100.0,2.0,47.0,2
kudlu,1600.0,3.0,79.0,3
yeshwanthpur,1950.0,4.0,130.0,4
mahadevpura,1212.0,2.0,56.9,2
8th phase jp nagar,1730.0,5.0,75.0,5
hennur,1295.0,2.0,62.0,2
talaghattapura,1868.0,3.0,135.0,3
yelahanka,1304.0,2.0,69.97,2
binny pete,1755.0,3.0,122.0,3
kalena agrahara,800.0,2.0,40.0,2
banashankari,2600.0,4.0,135.0,3
marathahalli,1026.0,2.0,49.95,2
talaghattapura,1800.0,3.0,84.0,3
varthur,1210.0,2.0,64.15,2
vidyaranyapura,1440.0,2.0,70.0,3
kanakpura road,900.0,2.0,46.29,2
haralur road,1243.0,2.0,46.0,2
dasanapura,708.0,2.0,31.15,2
whitefield,1200.0,3.0,68.4,3
other,1650.0,2.0,140.0,4
sarjapur  road,1112.0,2.0,62.0,2
electronic city,940.0,2.0,54.0,2
chandapura,700.0,1.0,19.0,2
old airport road,2658.0,5.0,189.0,4
other,672.0,1.0,27.0,1
kasturi nagar,1080.0,2.0,80.0,2
other,1100.0,2.0,75.0,2
jalahalli,2113.0,3.0,155.0,3
other,3150.0,5.0,145.0,8
kr puram,1225.0,2.0,46.55,2
hebbal,1420.0,2.0,107.0,2
other,1200.0,2.0,85.0,2
whitefield,2900.0,4.0,225.0,4
hsr layout,1140.0,2.0,46.0,2
rachenahalli,2600.0,3.0,160.0,3
other,2400.0,3.0,270.0,3
other,650.0,1.0,16.0,1
other,1870.0,3.0,110.0,3
channasandra,1070.0,2.0,38.0,2
hebbal,2650.0,4.0,199.0,3
budigere,1820.0,3.0,95.0,3
dasarahalli,1150.0,2.0,70.0,2
somasundara palya,1650.0,3.0,95.0,3
haralur road,1140.0,2.0,42.0,2
sahakara nagar,1175.0,2.0,49.0,2
bannerghatta road,1200.0,2.0,75.0,2
rajiv nagar,1263.0,2.0,93.32,2
akshaya nagar,1430.0,2.0,75.0,3
sarjapur  road,2238.0,3.0,140.0,3
hennur road,1482.0,2.0,97.0,3
other,925.0,2.0,68.0,2
8th phase jp nagar,871.0,2.0,55.0,2
yelahanka,3990.0,4.0,260.0,4
amruthahalli,485.0,1.0,19.5,1
kr puram,1192.5,2.0,51.22,2
vittasandra,1246.0,2.0,68.0,2
cox town,1730.0,3.0,140.0,3
ananth nagar,902.0,2.0,25.26,2
jalahalli,2250.0,3.0,160.0,3
other,1000.0,1.0,55.0,2
judicial layout,1100.0,2.0,53.0,3
talaghattapura,1868.0,3.0,131.0,3
bommasandra,1942.0,3.0,90.0,3
ananth nagar,937.0,2.0,35.0,2
electronic city,770.0,1.0,35.0,2
kengeri satellite town,1060.0,2.0,42.0,2
electronic city,1025.0,2.0,49.0,2
kundalahalli,1920.0,3.0,150.0,3
hsr layout,1140.0,2.0,46.0,2
prithvi layout,1352.0,2.0,85.0,2
hebbal,1349.0,2.0,96.8,2
hegde nagar,1200.0,2.0,75.0,2
whitefield,2400.0,4.0,200.0,4
koramangala,1320.0,2.0,165.0,2
vittasandra,1246.0,2.0,67.4,2
other,2005.0,3.0,240.0,3
rajaji nagar,1640.0,3.0,268.0,3
anjanapura,1800.0,4.0,55.0,4
kanakpura road,700.0,2.0,41.0,2
thanisandra,3500.0,5.0,160.0,6
kalena agrahara,1425.0,2.0,70.0,3
hulimavu,1225.0,2.0,55.0,2
other,1645.0,3.0,95.0,3
laggere,1200.0,3.0,130.0,3
harlur,1749.0,3.0,115.0,3
kudlu,1027.0,2.0,44.0,2
whitefield,1250.0,2.0,85.0,2
horamavu agara,1107.83,2.0,41.51,2
banashankari,1077.0,2.0,37.64,2
kasavanhalli,1090.0,2.0,59.8,2
other,1200.0,3.0,90.0,3
thanisandra,933.0,1.0,61.0,1
rajaji nagar,2400.0,5.0,408.0,5
